To_Complete,Num_Generations,Generations_Per_Second,Screen_Size,Cell_Size,Num_Cells,Num_Threads 
1.1684634685516357,200,171.16495755567712,1000*600,20*20,1500,1
3.5754785537719727,200,55.93656820819378,1000*600,10*10,6000,1
13.590290069580078,200,55.70580541515747,1000*600,10*10,6000,13.6271088123321533,200,55.14033638031506,1000*600,10*10,6000,1
7.230572462081909,200,27.66032718001608,2000*600,10*10,12000,1
7.357475757598877,200,27.18323601589009,2000*600,10*10,12000,1
7.235938787460327,200,27.639813695853015,2000*600,10*10,12000,1
7.177073240280151,200,27.86651233786116,2000*600,10*10,12000,1
14.500387191772461,200,13.792735142512626,2000*1200,10*10,24000,1
14.443597078323364,200,13.846966161923447,2000*1200,10*10,24000,1
14.557420492172241,200,13.7386977388984,2000*1200,10*10,24000,1
2.3588263988494873,200,84.78792678322982,2000*200,10*10,4000,1
14.533374309539795,200,13.761429090057826,2000*1200,10*10,24000,1
